Concept,Collection,ConceptCount,RecordCount,AverageOccurancePerRecord,CollectionOccurance%
Postal_Code,GeoTraces_ISO,587,117,5.02,100.00%
Process Step,GeoTraces_ISO,225,117,1.92,100.00%
Process Step Description,GeoTraces_ISO,225,117,1.92,100.00%
Product Link,GeoTraces_ISO,116,116,0.99,99.15%
Project Name,GeoTraces_ISO,144,117,1.23,100.00%
Province or State,GeoTraces_ISO,588,117,5.03,100.00%
Publication Date,GeoTraces_ISO,119,117,1.02,100.00%
Publication Information,GeoTraces_ISO,117,117,1.00,100.00%
Range Domain Units,GeoTraces_ISO,1092,117,9.33,100.00%
Related Resource Citation,GeoTraces_ISO,261,117,2.23,100.00%
Related Resource Identifier,GeoTraces_ISO,667,117,5.70,100.00%
Reprocessing Plan Note,GeoTraces_ISO,117,117,1.00,100.00%
Resource Access Constraints,GeoTraces_ISO,234,117,2.00,100.00%
Resource Contact,GeoTraces_ISO,125,117,1.07,100.00%
Resource Creation/Revision Date,GeoTraces_ISO,117,117,1.00,100.00%
Resource Identifier,GeoTraces_ISO,2,2,0.02,1.71%
Resource Language,GeoTraces_ISO,117,117,1.00,100.00%
Resource Lineage,GeoTraces_ISO,117,117,1.00,100.00%
Resource Long Name,GeoTraces_ISO,117,117,1.00,100.00%
Resource Status,GeoTraces_ISO,117,117,1.00,100.00%
Resource Title,GeoTraces_ISO,117,117,1.00,100.00%
Resource Type,GeoTraces_ISO,117,117,1.00,100.00%
Resource Update Frequency,GeoTraces_ISO,117,117,1.00,100.00%
Resource Use Constraints,GeoTraces_ISO,117,117,1.00,100.00%
Responsibility,GeoTraces_ISO,1962,117,16.77,100.00%
Rights,GeoTraces_ISO,117,117,1.00,100.00%
Role,GeoTraces_ISO,819,117,7.00,100.00%
Southernmost Latitude,GeoTraces_ISO,88,88,0.75,75.21%
Spatial Extent,GeoTraces_ISO,88,88,0.75,75.21%
Standard Name Vocabulary,GeoTraces_ISO,571,117,4.88,100.00%
Start Time,GeoTraces_ISO,9,9,0.08,7.69%
Temporal Extent,GeoTraces_ISO,117,117,1.00,100.00%
Theme Keyword,GeoTraces_ISO,3106,117,26.55,100.00%
Topic Category,GeoTraces_ISO,118,117,1.01,100.00%
URL,GeoTraces_ISO,116,116,0.99,99.15%
Units,GeoTraces_ISO,4385,117,37.48,100.00%
Unknown,GeoTraces_ISO,73002,117,623.95,100.00%
VariableType,GeoTraces_ISO,117,117,1.00,100.00%
Web Page,GeoTraces_ISO,887,117,7.58,100.00%
Westernmost Longitude,GeoTraces_ISO,88,88,0.75,75.21%
