Collection,Dialect,Record,Concept,Content,XPath,DialectDefinition
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"16",/dsOverview/contentMetadata/geospatialCoverage/grid/@numY,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"0E",/dsOverview/contentMetadata/geospatialCoverage/grid/@startLon,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"15N",/dsOverview/contentMetadata/geospatialCoverage/grid/@startLat,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"355E",/dsOverview/contentMetadata/geospatialCoverage/grid/@endLon,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"90N",/dsOverview/contentMetadata/geospatialCoverage/grid/@endLat,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"5",/dsOverview/contentMetadata/geospatialCoverage/grid/@xRes,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"5",/dsOverview/contentMetadata/geospatialCoverage/grid/@yRes,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"010.1",/dsOverview/@ID,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"primary",/dsOverview/@type,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"2015-02-11 21:47:58 -0700",/dsOverview/timeStamp/@value,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"yes",/dsOverview/continuingUpdate/@value,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"monthly",/dsOverview/continuingUpdate/@frequency,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"Monthly Northern Hemisphere Sea-Level Pressure Grids, continuing from 1899",/dsOverview/title,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"This dataset contains the longest continuous time series of monthly gridded Northern Hemisphere sea-level pressure data in the DSS archive. The 5-degree latitude/longitude grids, computed from the daily grids in ds010.0, begin in 1899 and cover the Northern Hemisphere from 15N to the North Pole. The dataset continues to be updated regularly as new data become available.",/dsOverview/summary/p,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"ds010.0",/dsOverview/summary/p/a,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"http://rda.ucar.edu/datasets/ds010.0/",/dsOverview/summary/p/a/@href,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"Each monthly grid is a simple average of all available daily grids for the month. Prior to 1955, there is one grid per day. From July 1962 on, there are two grids each day. In the interim period, the number of daily grids varies between one and two.",/dsOverview/summary/p,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"The grids for the period 1899-1977 were inspected and many corrections were made by Kevin Trenberth of the Laboratory of Atmospheric Research at the University of Illinois at Champaign-Urbana, and these grids are included in this dataset. For more information about these corrections, see the July 1980 issue of Monthly Weather Review.",/dsOverview/summary/p,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"Monthly Weather Review",/dsOverview/summary/p/i,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"GCMD",/dsOverview/creator/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"UCAR/NCAR/CISL/DSS > Data Support Section, Computational and Information Systems Laboratory, National Center for Atmospheric Research, University Corporation for Atmospheric Research",/dsOverview/creator/@name,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"GCMD",/dsOverview/contributor/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"UI-UC/ATMO > Department of Atmospheric Sciences, University of Illinois at Urbana-Champaign",/dsOverview/contributor/@name,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"Kevin Trenberth",/dsOverview/contributor/@contact,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"no",/dsOverview/contributor/@citable,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"GCMD",/dsOverview/contributor/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"DOC/NOAA/NWS > National Weather Service, NOAA, U.S. Department of Commerce",/dsOverview/contributor/@name,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"National Weather Bureau/Extended Forecast Division",/dsOverview/contributor/@formerName,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"no",/dsOverview/contributor/@citable,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"GCMD",/dsOverview/contributor/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"MIT/EAPS > Dept. of Earth, Atmospheric, and Planetary Sciences, Massachusetts Institute of Technology",/dsOverview/contributor/@name,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.1.xml,Unknown,"no",/dsOverview/contributor/@citable,Undefined
